07-Feb-2022	01:46:48	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	4.70139
-6.22222	-12.4444	5.11643
-4.66667	-12.4444	5.07308
-3.11111	-12.4444	4.87593
-1.55556	-12.4444	4.86699
0	-12.4444	5.23915
1.55556	-12.4444	5.2648
3.11111	-12.4444	5.2855
4.66667	-12.4444	5.40824
6.22222	-12.4444	5.7386
-7.77778	-10.8889	5.57812
-6.22222	-10.8889	5.52593
-4.66667	-10.8889	5.53262
-3.11111	-10.8889	5.38862
-1.55556	-10.8889	5.54882
0	-10.8889	5.25424
1.55556	-10.8889	5.11316
3.11111	-10.8889	5.17345
4.66667	-10.8889	5.48812
6.22222	-10.8889	6.06967
7.77778	-10.8889	6.59479
-9.33333	-9.33333	6.02173
-7.77778	-9.33333	5.92488
-6.22222	-9.33333	5.93027
-4.66667	-9.33333	5.88807
-3.11111	-9.33333	6.15726
-1.55556	-9.33333	6.16704
0	-9.33333	5.72885
1.55556	-9.33333	5.34554
3.11111	-9.33333	5.30206
4.66667	-9.33333	5.67573
6.22222	-9.33333	6.24997
7.77778	-9.33333	6.78255
9.33333	-9.33333	7.18361
-10.8889	-7.77778	6.27747
-9.33333	-7.77778	6.11446
-7.77778	-7.77778	6.021
-6.22222	-7.77778	5.96408
-4.66667	-7.77778	6.06305
-3.11111	-7.77778	6.35439
-1.55556	-7.77778	6.23598
0	-7.77778	6.1126
1.55556	-7.77778	5.96933
3.11111	-7.77778	5.78148
4.66667	-7.77778	5.79336
6.22222	-7.77778	6.14826
7.77778	-7.77778	6.67821
9.33333	-7.77778	7.09622
10.8889	-7.77778	7.5014
-12.4444	-6.22222	6.41798
-10.8889	-6.22222	6.2429
-9.33333	-6.22222	6.10074
-7.77778	-6.22222	6.03438
-6.22222	-6.22222	6.06676
-4.66667	-6.22222	6.2302
-3.11111	-6.22222	6.27357
-1.55556	-6.22222	6.083
0	-6.22222	6.15124
1.55556	-6.22222	6.18566
3.11111	-6.22222	6.01454
4.66667	-6.22222	5.9388
6.22222	-6.22222	6.00467
7.77778	-6.22222	6.39503
9.33333	-6.22222	6.7401
10.8889	-6.22222	7.15388
12.4444	-6.22222	7.65311
-12.4444	-4.66667	6.18284
-10.8889	-4.66667	6.09274
-9.33333	-4.66667	6.00452
-7.77778	-4.66667	6.03431
-6.22222	-4.66667	6.09268
-4.66667	-4.66667	6.17473
-3.11111	-4.66667	6.147
-1.55556	-4.66667	6.08314
0	-4.66667	6.0996
1.55556	-4.66667	6.21916
3.11111	-4.66667	6.25556
4.66667	-4.66667	6.13909
6.22222	-4.66667	5.98868
7.77778	-4.66667	6.11638
9.33333	-4.66667	6.47218
10.8889	-4.66667	6.86341
12.4444	-4.66667	7.24683
-12.4444	-3.11111	5.87038
-10.8889	-3.11111	6.02628
-9.33333	-3.11111	6.02226
-7.77778	-3.11111	6.01923
-6.22222	-3.11111	6.09077
-4.66667	-3.11111	6.10862
-3.11111	-3.11111	6.10737
-1.55556	-3.11111	6.02038
0	-3.11111	6.03828
1.55556	-3.11111	6.16505
3.11111	-3.11111	6.30538
4.66667	-3.11111	6.15475
6.22222	-3.11111	5.99485
7.77778	-3.11111	6.00799
9.33333	-3.11111	6.24371
10.8889	-3.11111	6.60748
12.4444	-3.11111	6.98996
-12.4444	-1.55556	5.62575
-10.8889	-1.55556	5.87077
-9.33333	-1.55556	5.88648
-7.77778	-1.55556	5.93192
-6.22222	-1.55556	5.96696
-4.66667	-1.55556	5.8065
-3.11111	-1.55556	5.96554
-1.55556	-1.55556	6.0666
0	-1.55556	6.10845
1.55556	-1.55556	6.22955
3.11111	-1.55556	6.25026
4.66667	-1.55556	6.08096
6.22222	-1.55556	5.98544
7.77778	-1.55556	5.90348
9.33333	-1.55556	6.09138
10.8889	-1.55556	6.37872
12.4444	-1.55556	6.84822
-14	0	5.11272
-12.4444	0	5.40848
-10.8889	0	5.5885
-9.33333	0	5.70597
-7.77778	0	5.63296
-6.22222	0	5.72086
-4.66667	0	5.7088
-3.11111	0	5.92484
-1.55556	0	6.07197
0	0	6.24535
1.55556	0	6.28497
3.11111	0	6.32713
4.66667	0	6.08376
6.22222	0	5.99971
7.77778	0	5.95338
9.33333	0	6.0057
10.8889	0	6.28964
12.4444	0	6.86867
14	0	7.18565
-12.4444	1.55556	5.09793
-10.8889	1.55556	5.29791
-9.33333	1.55556	5.46873
-7.77778	1.55556	5.49838
-6.22222	1.55556	5.54145
-4.66667	1.55556	5.59925
-3.11111	1.55556	5.8612
-1.55556	1.55556	6.07342
0	1.55556	6.25101
1.55556	1.55556	6.39703
3.11111	1.55556	6.36894
4.66667	1.55556	6.11372
6.22222	1.55556	6.1239
7.77778	1.55556	5.98098
9.33333	1.55556	6.14638
10.8889	1.55556	6.36321
12.4444	1.55556	6.76744
-12.4444	3.11111	5.05811
-10.8889	3.11111	5.20153
-9.33333	3.11111	5.37205
-7.77778	3.11111	5.42312
-6.22222	3.11111	5.47367
-4.66667	3.11111	5.51156
-3.11111	3.11111	5.72937
-1.55556	3.11111	6.07078
0	3.11111	6.28454
1.55556	3.11111	6.47779
3.11111	3.11111	6.40983
4.66667	3.11111	6.3866
6.22222	3.11111	6.12893
7.77778	3.11111	6.282
9.33333	3.11111	6.2492
10.8889	3.11111	6.53945
12.4444	3.11111	6.80538
-12.4444	4.66667	5.22545
-10.8889	4.66667	5.28722
-9.33333	4.66667	5.36281
-7.77778	4.66667	5.47981
-6.22222	4.66667	5.44005
-4.66667	4.66667	5.47867
-3.11111	4.66667	5.67
-1.55556	4.66667	5.96044
0	4.66667	6.30095
1.55556	4.66667	6.58135
3.11111	4.66667	6.56553
4.66667	4.66667	6.47853
6.22222	4.66667	6.41308
7.77778	4.66667	6.36847
9.33333	4.66667	6.45061
10.8889	4.66667	6.66223
12.4444	4.66667	6.77526
-12.4444	6.22222	5.26874
-10.8889	6.22222	5.40295
-9.33333	6.22222	5.52315
-7.77778	6.22222	5.57193
-6.22222	6.22222	5.61672
-4.66667	6.22222	5.60989
-3.11111	6.22222	5.6568
-1.55556	6.22222	5.8211
0	6.22222	6.1623
1.55556	6.22222	6.49737
3.11111	6.22222	6.68075
4.66667	6.22222	6.61225
6.22222	6.22222	6.44077
7.77778	6.22222	6.57983
9.33333	6.22222	6.56856
10.8889	6.22222	6.66592
12.4444	6.22222	6.76951
-10.8889	7.77778	5.42643
-9.33333	7.77778	5.51754
-7.77778	7.77778	5.7148
-6.22222	7.77778	5.65968
-4.66667	7.77778	5.64492
-3.11111	7.77778	5.70926
-1.55556	7.77778	5.91967
0	7.77778	6.24676
1.55556	7.77778	6.72137
3.11111	7.77778	6.80443
4.66667	7.77778	6.69828
6.22222	7.77778	6.55602
7.77778	7.77778	6.58262
9.33333	7.77778	6.7903
10.8889	7.77778	6.9303
-9.33333	9.33333	5.61405
-7.77778	9.33333	5.84879
-6.22222	9.33333	5.85747
-4.66667	9.33333	5.90608
-3.11111	9.33333	5.70261
-1.55556	9.33333	5.96141
0	9.33333	6.24275
1.55556	9.33333	6.55793
3.11111	9.33333	6.73505
4.66667	9.33333	6.69103
6.22222	9.33333	6.71965
7.77778	9.33333	6.83667
9.33333	9.33333	7.01347
-7.77778	10.8889	6.01951
-6.22222	10.8889	6.30705
-4.66667	10.8889	6.16195
-3.11111	10.8889	6.1668
-1.55556	10.8889	6.07857
0	10.8889	5.96409
1.55556	10.8889	6.40145
3.11111	10.8889	6.43122
4.66667	10.8889	6.22348
6.22222	10.8889	6.50784
7.77778	10.8889	6.76818
-6.22222	12.4444	6.37518
-4.66667	12.4444	6.36713
-3.11111	12.4444	6.31878
-1.55556	12.4444	6.26358
0	12.4444	6.15657
1.55556	12.4444	5.9523
3.11111	12.4444	5.66148
4.66667	12.4444	5.76837
6.22222	12.4444	6.26877
0	14	5.84932

Minimum value	4.70139
Maximum value	7.65311
Average value	6.06332
Std deviation	0.494824
