07-Feb-2022	01:55:34	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	6.18105
-6.22222	-12.4444	5.69088
-4.66667	-12.4444	5.49217
-3.11111	-12.4444	5.44389
-1.55556	-12.4444	5.6464
0	-12.4444	5.91967
1.55556	-12.4444	6.00149
3.11111	-12.4444	5.97471
4.66667	-12.4444	5.93684
6.22222	-12.4444	5.94076
-7.77778	-10.8889	6.27531
-6.22222	-10.8889	5.90873
-4.66667	-10.8889	5.61144
-3.11111	-10.8889	5.47925
-1.55556	-10.8889	5.51547
0	-10.8889	5.64184
1.55556	-10.8889	5.58196
3.11111	-10.8889	5.53117
4.66667	-10.8889	5.57878
6.22222	-10.8889	5.61952
7.77778	-10.8889	5.55215
-9.33333	-9.33333	6.68143
-7.77778	-9.33333	6.26121
-6.22222	-9.33333	5.88253
-4.66667	-9.33333	5.68031
-3.11111	-9.33333	5.63377
-1.55556	-9.33333	5.60651
0	-9.33333	5.41431
1.55556	-9.33333	5.36009
3.11111	-9.33333	5.36154
4.66667	-9.33333	5.3359
6.22222	-9.33333	5.52202
7.77778	-9.33333	5.35996
9.33333	-9.33333	5.16299
-10.8889	-7.77778	7.05322
-9.33333	-7.77778	6.52309
-7.77778	-7.77778	6.20924
-6.22222	-7.77778	5.89454
-4.66667	-7.77778	5.8436
-3.11111	-7.77778	5.68692
-1.55556	-7.77778	5.56701
0	-7.77778	5.44477
1.55556	-7.77778	5.34794
3.11111	-7.77778	5.33404
4.66667	-7.77778	5.21474
6.22222	-7.77778	5.26943
7.77778	-7.77778	5.34292
9.33333	-7.77778	5.23925
10.8889	-7.77778	5.48329
-12.4444	-6.22222	7.17451
-10.8889	-6.22222	6.80327
-9.33333	-6.22222	6.39129
-7.77778	-6.22222	6.14522
-6.22222	-6.22222	5.81558
-4.66667	-6.22222	5.78767
-3.11111	-6.22222	5.75316
-1.55556	-6.22222	5.72187
0	-6.22222	5.70492
1.55556	-6.22222	5.56023
3.11111	-6.22222	5.54007
4.66667	-6.22222	5.40549
6.22222	-6.22222	5.25706
7.77778	-6.22222	5.30375
9.33333	-6.22222	5.36993
10.8889	-6.22222	5.75232
12.4444	-6.22222	6.529
-12.4444	-4.66667	6.80531
-10.8889	-4.66667	6.4527
-9.33333	-4.66667	6.22209
-7.77778	-4.66667	6.03909
-6.22222	-4.66667	5.85893
-4.66667	-4.66667	5.9676
-3.11111	-4.66667	6.09867
-1.55556	-4.66667	6.08444
0	-4.66667	5.87092
1.55556	-4.66667	5.7963
3.11111	-4.66667	5.83637
4.66667	-4.66667	5.69106
6.22222	-4.66667	5.29952
7.77778	-4.66667	5.36214
9.33333	-4.66667	5.5937
10.8889	-4.66667	6.08551
12.4444	-4.66667	6.86908
-12.4444	-3.11111	6.43054
-10.8889	-3.11111	6.32768
-9.33333	-3.11111	6.22149
-7.77778	-3.11111	6.15124
-6.22222	-3.11111	6.26482
-4.66667	-3.11111	6.48706
-3.11111	-3.11111	6.59564
-1.55556	-3.11111	6.55136
0	-3.11111	6.38984
1.55556	-3.11111	6.2323
3.11111	-3.11111	6.14651
4.66667	-3.11111	6.05279
6.22222	-3.11111	5.69823
7.77778	-3.11111	5.57237
9.33333	-3.11111	5.91014
10.8889	-3.11111	6.3059
12.4444	-3.11111	7.0409
-12.4444	-1.55556	6.16351
-10.8889	-1.55556	6.30246
-9.33333	-1.55556	6.44075
-7.77778	-1.55556	6.479
-6.22222	-1.55556	6.54788
-4.66667	-1.55556	6.69441
-3.11111	-1.55556	6.75286
-1.55556	-1.55556	6.61698
0	-1.55556	6.45282
1.55556	-1.55556	6.28889
3.11111	-1.55556	6.2125
4.66667	-1.55556	6.10834
6.22222	-1.55556	5.93796
7.77778	-1.55556	5.80812
9.33333	-1.55556	6.08854
10.8889	-1.55556	6.46559
12.4444	-1.55556	7.0728
-14	0	5.74119
-12.4444	0	5.975
-10.8889	0	6.31888
-9.33333	0	6.67689
-7.77778	0	6.5497
-6.22222	0	6.45957
-4.66667	0	6.58828
-3.11111	0	6.58658
-1.55556	0	6.42863
0	0	6.19388
1.55556	0	6.09827
3.11111	0	6.08733
4.66667	0	6.1323
6.22222	0	6.17103
7.77778	0	6.10567
9.33333	0	6.15953
10.8889	0	6.46348
12.4444	0	7.05099
14	0	7.63636
-12.4444	1.55556	5.93263
-10.8889	1.55556	6.13406
-9.33333	1.55556	6.38692
-7.77778	1.55556	6.2317
-6.22222	1.55556	6.23277
-4.66667	1.55556	6.30214
-3.11111	1.55556	6.30529
-1.55556	1.55556	6.1431
0	1.55556	6.01692
1.55556	1.55556	5.92437
3.11111	1.55556	5.95497
4.66667	1.55556	6.05785
6.22222	1.55556	6.20403
7.77778	1.55556	5.95414
9.33333	1.55556	6.12199
10.8889	1.55556	6.27467
12.4444	1.55556	6.77983
-12.4444	3.11111	6.12347
-10.8889	3.11111	6.01557
-9.33333	3.11111	5.99243
-7.77778	3.11111	5.86578
-6.22222	3.11111	5.86117
-4.66667	3.11111	5.95607
-3.11111	3.11111	5.94704
-1.55556	3.11111	5.92836
0	3.11111	5.9073
1.55556	3.11111	5.87373
3.11111	3.11111	5.83657
4.66667	3.11111	5.88825
6.22222	3.11111	5.92441
7.77778	3.11111	5.88747
9.33333	3.11111	5.85526
10.8889	3.11111	5.9583
12.4444	3.11111	6.22097
-12.4444	4.66667	6.30404
-10.8889	4.66667	6.22231
-9.33333	4.66667	5.96269
-7.77778	4.66667	5.80332
-6.22222	4.66667	5.73045
-4.66667	4.66667	5.81214
-3.11111	4.66667	5.79659
-1.55556	4.66667	5.86247
0	4.66667	5.89681
1.55556	4.66667	5.80551
3.11111	4.66667	5.75781
4.66667	4.66667	5.72697
6.22222	4.66667	5.67092
7.77778	4.66667	5.49691
9.33333	4.66667	5.33126
10.8889	4.66667	5.52057
12.4444	4.66667	5.75989
-12.4444	6.22222	6.64905
-10.8889	6.22222	6.41389
-9.33333	6.22222	6.11752
-7.77778	6.22222	5.8703
-6.22222	6.22222	5.85734
-4.66667	6.22222	5.90859
-3.11111	6.22222	5.77868
-1.55556	6.22222	5.80397
0	6.22222	5.77536
1.55556	6.22222	5.76413
3.11111	6.22222	5.64171
4.66667	6.22222	5.66591
6.22222	6.22222	5.5522
7.77778	6.22222	5.08706
9.33333	6.22222	4.98742
10.8889	6.22222	5.25722
12.4444	6.22222	5.36369
-10.8889	7.77778	6.53904
-9.33333	7.77778	6.20855
-7.77778	7.77778	5.98639
-6.22222	7.77778	5.88309
-4.66667	7.77778	5.91882
-3.11111	7.77778	5.86906
-1.55556	7.77778	5.84026
0	7.77778	5.75336
1.55556	7.77778	5.7635
3.11111	7.77778	5.74364
4.66667	7.77778	5.64485
6.22222	7.77778	5.46264
7.77778	7.77778	5.07678
9.33333	7.77778	5.12225
10.8889	7.77778	5.31686
-9.33333	9.33333	6.37957
-7.77778	9.33333	6.13548
-6.22222	9.33333	5.93956
-4.66667	9.33333	5.97514
-3.11111	9.33333	5.91325
-1.55556	9.33333	5.87095
0	9.33333	5.8383
1.55556	9.33333	5.78659
3.11111	9.33333	5.7274
4.66667	9.33333	5.79152
6.22222	9.33333	5.4591
7.77778	9.33333	5.38225
9.33333	9.33333	5.48198
-7.77778	10.8889	6.18608
-6.22222	10.8889	6.01728
-4.66667	10.8889	5.81959
-3.11111	10.8889	5.93086
-1.55556	10.8889	5.94174
0	10.8889	5.91066
1.55556	10.8889	5.89128
3.11111	10.8889	6.10484
4.66667	10.8889	5.80451
6.22222	10.8889	5.69362
7.77778	10.8889	5.61106
-6.22222	12.4444	6.09796
-4.66667	12.4444	6.02871
-3.11111	12.4444	5.90205
-1.55556	12.4444	6.18072
0	12.4444	6.33031
1.55556	12.4444	6.41899
3.11111	12.4444	6.16076
4.66667	12.4444	5.90819
6.22222	12.4444	5.93973
0	14	6.42492

Minimum value	4.98742
Maximum value	7.63636
Average value	5.95847
Std deviation	0.422396
