07-Feb-2022	01:49:43	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	6.84392
-6.22222	-12.4444	5.25765
-4.66667	-12.4444	5.56577
-3.11111	-12.4444	6.07446
-1.55556	-12.4444	6.38415
0	-12.4444	6.54775
1.55556	-12.4444	6.58791
3.11111	-12.4444	6.52802
4.66667	-12.4444	6.3974
6.22222	-12.4444	6.09917
-7.77778	-10.8889	5.4299
-6.22222	-10.8889	5.51423
-4.66667	-10.8889	5.72071
-3.11111	-10.8889	5.92935
-1.55556	-10.8889	6.03182
0	-10.8889	6.18266
1.55556	-10.8889	6.06667
3.11111	-10.8889	6.02413
4.66667	-10.8889	5.91273
6.22222	-10.8889	5.76293
7.77778	-10.8889	5.33663
-9.33333	-9.33333	5.40311
-7.77778	-9.33333	5.32029
-6.22222	-9.33333	5.39943
-4.66667	-9.33333	5.66211
-3.11111	-9.33333	5.73679
-1.55556	-9.33333	5.83522
0	-9.33333	5.73073
1.55556	-9.33333	5.72697
3.11111	-9.33333	5.57792
4.66667	-9.33333	5.54218
6.22222	-9.33333	5.467
7.77778	-9.33333	5.25468
9.33333	-9.33333	4.97193
-10.8889	-7.77778	5.33141
-9.33333	-7.77778	5.2816
-7.77778	-7.77778	5.40145
-6.22222	-7.77778	5.36522
-4.66667	-7.77778	5.42049
-3.11111	-7.77778	5.43736
-1.55556	-7.77778	5.51002
0	-7.77778	5.57953
1.55556	-7.77778	5.30318
3.11111	-7.77778	5.23722
4.66667	-7.77778	5.17337
6.22222	-7.77778	5.17393
7.77778	-7.77778	5.10719
9.33333	-7.77778	5.03214
10.8889	-7.77778	5.21201
-12.4444	-6.22222	5.01838
-10.8889	-6.22222	5.39196
-9.33333	-6.22222	5.33099
-7.77778	-6.22222	5.47267
-6.22222	-6.22222	5.36346
-4.66667	-6.22222	5.36305
-3.11111	-6.22222	5.37453
-1.55556	-6.22222	5.38691
0	-6.22222	5.33218
1.55556	-6.22222	5.1974
3.11111	-6.22222	5.04545
4.66667	-6.22222	5.08169
6.22222	-6.22222	5.10534
7.77778	-6.22222	5.12983
9.33333	-6.22222	5.24058
10.8889	-6.22222	5.46713
12.4444	-6.22222	5.61644
-12.4444	-4.66667	5.25278
-10.8889	-4.66667	5.61539
-9.33333	-4.66667	5.50235
-7.77778	-4.66667	5.67478
-6.22222	-4.66667	5.54869
-4.66667	-4.66667	5.4518
-3.11111	-4.66667	5.39041
-1.55556	-4.66667	5.27672
0	-4.66667	5.13273
1.55556	-4.66667	5.01689
3.11111	-4.66667	4.94334
4.66667	-4.66667	4.98467
6.22222	-4.66667	5.06945
7.77778	-4.66667	5.18658
9.33333	-4.66667	5.40038
10.8889	-4.66667	5.73276
12.4444	-4.66667	5.82092
-12.4444	-3.11111	5.6065
-10.8889	-3.11111	5.77078
-9.33333	-3.11111	5.85053
-7.77778	-3.11111	5.97176
-6.22222	-3.11111	5.72955
-4.66667	-3.11111	5.54243
-3.11111	-3.11111	5.33745
-1.55556	-3.11111	5.1769
0	-3.11111	5.04417
1.55556	-3.11111	4.93915
3.11111	-3.11111	4.75258
4.66667	-3.11111	4.81608
6.22222	-3.11111	4.92529
7.77778	-3.11111	5.14232
9.33333	-3.11111	5.49254
10.8889	-3.11111	5.84254
12.4444	-3.11111	6.13624
-12.4444	-1.55556	6.15376
-10.8889	-1.55556	6.08621
-9.33333	-1.55556	6.262
-7.77778	-1.55556	6.14987
-6.22222	-1.55556	5.87217
-4.66667	-1.55556	5.6473
-3.11111	-1.55556	5.36812
-1.55556	-1.55556	5.12905
0	-1.55556	4.97645
1.55556	-1.55556	4.93568
3.11111	-1.55556	4.74709
4.66667	-1.55556	4.72789
6.22222	-1.55556	4.84911
7.77778	-1.55556	5.08985
9.33333	-1.55556	5.59866
10.8889	-1.55556	6.04194
12.4444	-1.55556	6.37563
-14	0	6.30304
-12.4444	0	6.33738
-10.8889	0	6.38496
-9.33333	0	6.40323
-7.77778	0	6.28988
-6.22222	0	6.03413
-4.66667	0	5.80511
-3.11111	0	5.62317
-1.55556	0	5.22564
0	0	4.99811
1.55556	0	4.92705
3.11111	0	4.8019
4.66667	0	4.58042
6.22222	0	4.8887
7.77778	0	5.26774
9.33333	0	5.61984
10.8889	0	6.13823
12.4444	0	6.44389
14	0	6.80306
-12.4444	1.55556	6.45296
-10.8889	1.55556	6.48005
-9.33333	1.55556	6.32035
-7.77778	1.55556	6.22642
-6.22222	1.55556	6.18301
-4.66667	1.55556	5.95608
-3.11111	1.55556	5.67343
-1.55556	1.55556	5.42978
0	1.55556	5.15732
1.55556	1.55556	4.98381
3.11111	1.55556	4.86237
4.66667	1.55556	4.65183
6.22222	1.55556	4.7735
7.77778	1.55556	5.28733
9.33333	1.55556	5.71636
10.8889	1.55556	6.10958
12.4444	1.55556	6.3742
-12.4444	3.11111	6.41628
-10.8889	3.11111	6.36013
-9.33333	3.11111	6.10616
-7.77778	3.11111	6.04221
-6.22222	3.11111	6.03057
-4.66667	3.11111	5.9612
-3.11111	3.11111	5.69524
-1.55556	3.11111	5.49196
0	3.11111	5.32377
1.55556	3.11111	5.11282
3.11111	3.11111	4.87706
4.66667	3.11111	4.75068
6.22222	3.11111	4.8244
7.77778	3.11111	5.15611
9.33333	3.11111	5.47892
10.8889	3.11111	5.67749
12.4444	3.11111	6.03182
-12.4444	4.66667	6.19999
-10.8889	4.66667	6.08462
-9.33333	4.66667	5.83879
-7.77778	4.66667	5.64958
-6.22222	4.66667	5.75178
-4.66667	4.66667	5.66965
-3.11111	4.66667	5.55494
-1.55556	4.66667	5.40673
0	4.66667	5.31433
1.55556	4.66667	5.15581
3.11111	4.66667	5.18072
4.66667	4.66667	4.81871
6.22222	4.66667	4.78823
7.77778	4.66667	4.9149
9.33333	4.66667	5.01998
10.8889	4.66667	5.20898
12.4444	4.66667	5.64928
-12.4444	6.22222	6.27259
-10.8889	6.22222	5.94441
-9.33333	6.22222	5.47513
-7.77778	6.22222	5.4377
-6.22222	6.22222	5.41302
-4.66667	6.22222	5.35985
-3.11111	6.22222	5.20864
-1.55556	6.22222	5.22256
0	6.22222	5.23976
1.55556	6.22222	5.22056
3.11111	6.22222	4.98585
4.66667	6.22222	4.99914
6.22222	6.22222	4.71761
7.77778	6.22222	4.69427
9.33333	6.22222	4.84348
10.8889	6.22222	5.07501
12.4444	6.22222	5.34232
-10.8889	7.77778	5.89233
-9.33333	7.77778	5.51539
-7.77778	7.77778	5.39421
-6.22222	7.77778	5.40813
-4.66667	7.77778	5.31598
-3.11111	7.77778	5.49542
-1.55556	7.77778	5.53357
0	7.77778	5.57576
1.55556	7.77778	5.52856
3.11111	7.77778	5.35285
4.66667	7.77778	4.91326
6.22222	7.77778	4.93683
7.77778	7.77778	4.73586
9.33333	7.77778	4.73639
10.8889	7.77778	4.871
-9.33333	9.33333	5.49198
-7.77778	9.33333	5.41469
-6.22222	9.33333	5.35011
-4.66667	9.33333	5.53599
-3.11111	9.33333	5.543
-1.55556	9.33333	5.7916
0	9.33333	5.7456
1.55556	9.33333	5.61675
3.11111	9.33333	5.28918
4.66667	9.33333	5.42427
6.22222	9.33333	5.03878
7.77778	9.33333	4.78001
9.33333	9.33333	4.68416
-7.77778	10.8889	5.42938
-6.22222	10.8889	5.62591
-4.66667	10.8889	5.69557
-3.11111	10.8889	6.13649
-1.55556	10.8889	5.86964
0	10.8889	5.88608
1.55556	10.8889	5.97362
3.11111	10.8889	5.94664
4.66667	10.8889	5.71466
6.22222	10.8889	5.53473
7.77778	10.8889	4.98579
-6.22222	12.4444	5.67503
-4.66667	12.4444	5.92451
-3.11111	12.4444	6.35669
-1.55556	12.4444	6.67511
0	12.4444	6.5888
1.55556	12.4444	6.57492
3.11111	12.4444	6.36442
4.66667	12.4444	6.36144
6.22222	12.4444	5.73152
0	14	7.27619

Minimum value	4.58042
Maximum value	7.27619
Average value	5.54208
Std deviation	0.505366
