07-Feb-2022	01:43:53	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	5.45997
-6.22222	-12.4444	8.1665
-4.66667	-12.4444	7.5042
-3.11111	-12.4444	6.49091
-1.55556	-12.4444	5.71419
0	-12.4444	5.19476
1.55556	-12.4444	4.85496
3.11111	-12.4444	4.79928
4.66667	-12.4444	4.78464
6.22222	-12.4444	4.91716
-7.77778	-10.8889	8.13232
-6.22222	-10.8889	7.7616
-4.66667	-10.8889	7.18748
-3.11111	-10.8889	6.40616
-1.55556	-10.8889	5.83931
0	-10.8889	5.12121
1.55556	-10.8889	4.83266
3.11111	-10.8889	4.65913
4.66667	-10.8889	4.66447
6.22222	-10.8889	4.87752
7.77778	-10.8889	5.12522
-9.33333	-9.33333	7.59192
-7.77778	-9.33333	7.51425
-6.22222	-9.33333	7.05151
-4.66667	-9.33333	6.60122
-3.11111	-9.33333	6.42166
-1.55556	-9.33333	5.96315
0	-9.33333	5.35457
1.55556	-9.33333	4.81248
3.11111	-9.33333	4.54353
4.66667	-9.33333	4.46678
6.22222	-9.33333	4.65378
7.77778	-9.33333	4.94854
9.33333	-9.33333	5.30827
-10.8889	-7.77778	6.68385
-9.33333	-7.77778	6.9057
-7.77778	-7.77778	6.63346
-6.22222	-7.77778	6.47409
-4.66667	-7.77778	6.29377
-3.11111	-7.77778	6.19195
-1.55556	-7.77778	6.00662
0	-7.77778	5.53703
1.55556	-7.77778	4.96459
3.11111	-7.77778	4.56496
4.66667	-7.77778	4.53952
6.22222	-7.77778	4.84367
7.77778	-7.77778	5.32409
9.33333	-7.77778	5.48007
10.8889	-7.77778	5.53929
-12.4444	-6.22222	5.79395
-10.8889	-6.22222	6.10874
-9.33333	-6.22222	6.10276
-7.77778	-6.22222	6.15172
-6.22222	-6.22222	5.99642
-4.66667	-6.22222	5.96942
-3.11111	-6.22222	5.94625
-1.55556	-6.22222	5.85615
0	-6.22222	5.59188
1.55556	-6.22222	5.09325
3.11111	-6.22222	4.90926
4.66667	-6.22222	4.871
6.22222	-6.22222	5.22373
7.77778	-6.22222	5.62576
9.33333	-6.22222	5.73735
10.8889	-6.22222	5.7033
12.4444	-6.22222	5.81338
-12.4444	-4.66667	5.13455
-10.8889	-4.66667	5.63442
-9.33333	-4.66667	5.62772
-7.77778	-4.66667	5.57211
-6.22222	-4.66667	5.66123
-4.66667	-4.66667	5.64077
-3.11111	-4.66667	5.64141
-1.55556	-4.66667	5.66566
0	-4.66667	5.55802
1.55556	-4.66667	5.29876
3.11111	-4.66667	5.29563
4.66667	-4.66667	5.28875
6.22222	-4.66667	5.65438
7.77778	-4.66667	5.73707
9.33333	-4.66667	5.98357
10.8889	-4.66667	5.88169
12.4444	-4.66667	5.89778
-12.4444	-3.11111	4.98915
-10.8889	-3.11111	5.31586
-9.33333	-3.11111	5.2073
-7.77778	-3.11111	5.26234
-6.22222	-3.11111	5.2348
-4.66667	-3.11111	5.45501
-3.11111	-3.11111	5.43674
-1.55556	-3.11111	5.50394
0	-3.11111	5.56884
1.55556	-3.11111	5.4677
3.11111	-3.11111	5.63009
4.66667	-3.11111	5.94529
6.22222	-3.11111	5.89599
7.77778	-3.11111	6.31005
9.33333	-3.11111	6.26592
10.8889	-3.11111	6.25628
12.4444	-3.11111	6.11149
-12.4444	-1.55556	4.79547
-10.8889	-1.55556	5.14998
-9.33333	-1.55556	5.11599
-7.77778	-1.55556	5.07543
-6.22222	-1.55556	5.05147
-4.66667	-1.55556	5.0542
-3.11111	-1.55556	5.22049
-1.55556	-1.55556	5.38763
0	-1.55556	5.58792
1.55556	-1.55556	5.63052
3.11111	-1.55556	5.81158
4.66667	-1.55556	6.16611
6.22222	-1.55556	6.57338
7.77778	-1.55556	6.91883
9.33333	-1.55556	6.76392
10.8889	-1.55556	6.67554
12.4444	-1.55556	6.47046
-14	0	4.75634
-12.4444	0	4.74827
-10.8889	0	5.02009
-9.33333	0	5.1444
-7.77778	0	4.98387
-6.22222	0	4.92813
-4.66667	0	4.91087
-3.11111	0	5.12766
-1.55556	0	5.36777
0	0	5.59866
1.55556	0	5.86125
3.11111	0	6.0747
4.66667	0	6.52026
6.22222	0	6.8731
7.77778	0	6.98206
9.33333	0	7.12423
10.8889	0	7.17341
12.4444	0	6.97796
14	0	6.70402
-12.4444	1.55556	4.96615
-10.8889	1.55556	5.02917
-9.33333	1.55556	5.05038
-7.77778	1.55556	5.0526
-6.22222	1.55556	4.94432
-4.66667	1.55556	4.92756
-3.11111	1.55556	5.17576
-1.55556	1.55556	5.46851
0	1.55556	5.75334
1.55556	1.55556	6.00292
3.11111	1.55556	6.25484
4.66667	1.55556	6.78007
6.22222	1.55556	7.07297
7.77778	1.55556	7.10829
9.33333	1.55556	7.4062
10.8889	1.55556	7.47142
12.4444	1.55556	7.49465
-12.4444	3.11111	5.27709
-10.8889	3.11111	5.13021
-9.33333	3.11111	5.08312
-7.77778	3.11111	5.07907
-6.22222	3.11111	4.99071
-4.66667	3.11111	5.0281
-3.11111	3.11111	5.32976
-1.55556	3.11111	5.58648
0	3.11111	5.8468
1.55556	3.11111	6.15129
3.11111	3.11111	6.40053
4.66667	3.11111	6.98361
6.22222	3.11111	7.16659
7.77778	3.11111	7.36972
9.33333	3.11111	7.66238
10.8889	3.11111	7.83273
12.4444	3.11111	7.89224
-12.4444	4.66667	5.65216
-10.8889	4.66667	5.33351
-9.33333	4.66667	5.14965
-7.77778	4.66667	5.00979
-6.22222	4.66667	5.14722
-4.66667	4.66667	5.12836
-3.11111	4.66667	5.34752
-1.55556	4.66667	5.52527
0	4.66667	5.90025
1.55556	4.66667	6.20629
3.11111	4.66667	6.6134
4.66667	4.66667	6.97984
6.22222	4.66667	7.32454
7.77778	4.66667	7.50341
9.33333	4.66667	7.93585
10.8889	4.66667	8.09815
12.4444	4.66667	8.20967
-12.4444	6.22222	6.01492
-10.8889	6.22222	5.61193
-9.33333	6.22222	5.2436
-7.77778	6.22222	5.1072
-6.22222	6.22222	5.11561
-4.66667	6.22222	5.10796
-3.11111	6.22222	5.24548
-1.55556	6.22222	5.63144
0	6.22222	6.09913
1.55556	6.22222	6.34029
3.11111	6.22222	6.68365
4.66667	6.22222	7.01913
6.22222	6.22222	7.35677
7.77778	6.22222	7.68733
9.33333	6.22222	7.91851
10.8889	6.22222	8.13647
12.4444	6.22222	8.26349
-10.8889	7.77778	5.89535
-9.33333	7.77778	5.47332
-7.77778	7.77778	5.29758
-6.22222	7.77778	5.2581
-4.66667	7.77778	5.12043
-3.11111	7.77778	5.29677
-1.55556	7.77778	5.65117
0	7.77778	6.08244
1.55556	7.77778	6.38731
3.11111	7.77778	6.7567
4.66667	7.77778	7.23781
6.22222	7.77778	7.39507
7.77778	7.77778	7.67723
9.33333	7.77778	7.87427
10.8889	7.77778	8.08401
-9.33333	9.33333	5.64789
-7.77778	9.33333	5.48243
-6.22222	9.33333	5.40242
-4.66667	9.33333	5.15802
-3.11111	9.33333	5.28238
-1.55556	9.33333	5.60017
0	9.33333	5.82876
1.55556	9.33333	6.45877
3.11111	9.33333	6.78828
4.66667	9.33333	7.12113
6.22222	9.33333	7.29838
7.77778	9.33333	7.54496
9.33333	9.33333	7.73066
-7.77778	10.8889	5.64066
-6.22222	10.8889	5.45507
-4.66667	10.8889	5.07615
-3.11111	10.8889	5.14682
-1.55556	10.8889	5.56641
0	10.8889	5.81076
1.55556	10.8889	6.06881
3.11111	10.8889	6.49152
4.66667	10.8889	6.80326
6.22222	10.8889	7.01628
7.77778	10.8889	7.40019
-6.22222	12.4444	5.35177
-4.66667	12.4444	5.11441
-3.11111	12.4444	4.90874
-1.55556	12.4444	5.57435
0	12.4444	5.84821
1.55556	12.4444	5.84345
3.11111	12.4444	5.79916
4.66667	12.4444	6.0669
6.22222	12.4444	6.50417
0	14	5.57665

Minimum value	4.46678
Maximum value	8.26349
Average value	5.93625
Std deviation	0.920292
