07-Feb-2022	02:01:25	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	4.53356
-6.22222	-12.4444	5.90992
-4.66667	-12.4444	5.44258
-3.11111	-12.4444	4.99054
-1.55556	-12.4444	4.72464
0	-12.4444	4.71376
1.55556	-12.4444	4.79851
3.11111	-12.4444	5.306
4.66667	-12.4444	5.8507
6.22222	-12.4444	6.62814
-7.77778	-10.8889	5.72222
-6.22222	-10.8889	5.40122
-4.66667	-10.8889	5.03809
-3.11111	-10.8889	4.85127
-1.55556	-10.8889	4.76279
0	-10.8889	4.64837
1.55556	-10.8889	4.86679
3.11111	-10.8889	5.31935
4.66667	-10.8889	5.95133
6.22222	-10.8889	6.67347
7.77778	-10.8889	7.33207
-9.33333	-9.33333	5.42465
-7.77778	-9.33333	5.18106
-6.22222	-9.33333	4.99581
-4.66667	-9.33333	4.80136
-3.11111	-9.33333	4.77677
-1.55556	-9.33333	4.79893
0	-9.33333	4.80752
1.55556	-9.33333	5.10689
3.11111	-9.33333	5.57312
4.66667	-9.33333	6.16052
6.22222	-9.33333	6.66917
7.77778	-9.33333	7.22252
9.33333	-9.33333	7.72839
-10.8889	-7.77778	4.86672
-9.33333	-7.77778	4.964
-7.77778	-7.77778	4.87085
-6.22222	-7.77778	4.78905
-4.66667	-7.77778	4.88481
-3.11111	-7.77778	5.02749
-1.55556	-7.77778	5.07787
0	-7.77778	5.26219
1.55556	-7.77778	5.629
3.11111	-7.77778	6.0648
4.66667	-7.77778	6.54874
6.22222	-7.77778	6.85355
7.77778	-7.77778	7.14293
9.33333	-7.77778	7.42932
10.8889	-7.77778	7.58342
-12.4444	-6.22222	3.98332
-10.8889	-6.22222	4.49121
-9.33333	-6.22222	4.63491
-7.77778	-6.22222	4.67415
-6.22222	-6.22222	4.8683
-4.66667	-6.22222	4.97738
-3.11111	-6.22222	5.17863
-1.55556	-6.22222	5.51568
0	-6.22222	5.86773
1.55556	-6.22222	6.28507
3.11111	-6.22222	6.64565
4.66667	-6.22222	6.85689
6.22222	-6.22222	6.91575
7.77778	-6.22222	7.00112
9.33333	-6.22222	7.15245
10.8889	-6.22222	7.16911
12.4444	-6.22222	7.04615
-12.4444	-4.66667	3.7258
-10.8889	-4.66667	4.21923
-9.33333	-4.66667	4.54083
-7.77778	-4.66667	4.69279
-6.22222	-4.66667	4.75266
-4.66667	-4.66667	4.96653
-3.11111	-4.66667	5.43255
-1.55556	-4.66667	5.80829
0	-4.66667	6.13053
1.55556	-4.66667	6.50714
3.11111	-4.66667	6.75218
4.66667	-4.66667	6.85583
6.22222	-4.66667	6.84721
7.77778	-4.66667	6.77865
9.33333	-4.66667	6.71694
10.8889	-4.66667	6.71149
12.4444	-4.66667	6.56683
-12.4444	-3.11111	3.69332
-10.8889	-3.11111	4.08198
-9.33333	-3.11111	4.3757
-7.77778	-3.11111	4.47244
-6.22222	-3.11111	4.69201
-4.66667	-3.11111	5.15341
-3.11111	-3.11111	5.50797
-1.55556	-3.11111	5.88169
0	-3.11111	6.20209
1.55556	-3.11111	6.47278
3.11111	-3.11111	6.67019
4.66667	-3.11111	6.72095
6.22222	-3.11111	6.63144
7.77778	-3.11111	6.59514
9.33333	-3.11111	6.43174
10.8889	-3.11111	6.33432
12.4444	-3.11111	6.0294
-12.4444	-1.55556	3.76155
-10.8889	-1.55556	3.97195
-9.33333	-1.55556	4.14667
-7.77778	-1.55556	4.35467
-6.22222	-1.55556	4.72789
-4.66667	-1.55556	5.27177
-3.11111	-1.55556	5.61633
-1.55556	-1.55556	5.88512
0	-1.55556	6.19182
1.55556	-1.55556	6.36272
3.11111	-1.55556	6.50712
4.66667	-1.55556	6.49693
6.22222	-1.55556	6.35076
7.77778	-1.55556	6.27141
9.33333	-1.55556	6.1061
10.8889	-1.55556	5.91978
12.4444	-1.55556	5.60392
-14	0	3.98916
-12.4444	0	3.93386
-10.8889	0	4.11132
-9.33333	0	4.21874
-7.77778	0	4.48078
-6.22222	0	4.96352
-4.66667	0	5.3166
-3.11111	0	5.59199
-1.55556	0	5.8148
0	0	6.00656
1.55556	0	6.22192
3.11111	0	6.2363
4.66667	0	6.22781
6.22222	0	6.22152
7.77778	0	5.99782
9.33333	0	5.82362
10.8889	0	5.50149
12.4444	0	5.40989
14	0	5.1891
-12.4444	1.55556	4.08525
-10.8889	1.55556	4.32023
-9.33333	1.55556	4.6037
-7.77778	1.55556	4.8611
-6.22222	1.55556	5.30267
-4.66667	1.55556	5.47236
-3.11111	1.55556	5.48303
-1.55556	1.55556	5.73561
0	1.55556	5.86173
1.55556	1.55556	6.00359
3.11111	1.55556	6.03706
4.66667	1.55556	6.05541
6.22222	1.55556	6.09004
7.77778	1.55556	5.93939
9.33333	1.55556	5.70072
10.8889	1.55556	5.45266
12.4444	1.55556	5.31743
-12.4444	3.11111	4.42255
-10.8889	3.11111	4.72041
-9.33333	3.11111	5.04466
-7.77778	3.11111	5.44193
-6.22222	3.11111	5.66248
-4.66667	3.11111	5.61014
-3.11111	3.11111	5.54212
-1.55556	3.11111	5.47164
0	3.11111	5.64446
1.55556	3.11111	5.76852
3.11111	3.11111	5.80124
4.66667	3.11111	5.95067
6.22222	3.11111	5.96186
7.77778	3.11111	5.86314
9.33333	3.11111	5.75187
10.8889	3.11111	5.68501
12.4444	3.11111	5.61811
-12.4444	4.66667	4.90612
-10.8889	4.66667	5.17394
-9.33333	4.66667	5.31101
-7.77778	4.66667	5.5778
-6.22222	4.66667	5.64961
-4.66667	4.66667	5.8093
-3.11111	4.66667	5.69948
-1.55556	4.66667	5.46629
0	4.66667	5.33291
1.55556	4.66667	5.47085
3.11111	4.66667	5.64826
4.66667	4.66667	5.78654
6.22222	4.66667	5.81024
7.77778	4.66667	5.96109
9.33333	4.66667	6.02762
10.8889	4.66667	6.05906
12.4444	4.66667	5.82105
-12.4444	6.22222	5.64623
-10.8889	6.22222	5.95701
-9.33333	6.22222	5.87365
-7.77778	6.22222	5.67375
-6.22222	6.22222	5.74592
-4.66667	6.22222	5.82131
-3.11111	6.22222	5.69811
-1.55556	6.22222	5.42798
0	6.22222	5.21112
1.55556	6.22222	5.15379
3.11111	6.22222	5.40324
4.66667	6.22222	5.43129
6.22222	6.22222	5.62779
7.77778	6.22222	5.93795
9.33333	6.22222	6.10203
10.8889	6.22222	6.18253
12.4444	6.22222	6.11756
-10.8889	7.77778	6.39554
-9.33333	7.77778	6.27061
-7.77778	7.77778	6.09894
-6.22222	7.77778	6.00897
-4.66667	7.77778	5.78049
-3.11111	7.77778	5.46245
-1.55556	7.77778	5.24717
0	7.77778	4.97391
1.55556	7.77778	4.93386
3.11111	7.77778	5.07684
4.66667	7.77778	5.24562
6.22222	7.77778	5.54225
7.77778	7.77778	5.9057
9.33333	7.77778	6.15397
10.8889	7.77778	6.37649
-9.33333	9.33333	6.62648
-7.77778	9.33333	6.39921
-6.22222	9.33333	6.2125
-4.66667	9.33333	5.97786
-3.11111	9.33333	5.57084
-1.55556	9.33333	5.2052
0	9.33333	4.97975
1.55556	9.33333	4.97317
3.11111	9.33333	5.08536
4.66667	9.33333	5.34571
6.22222	9.33333	5.62734
7.77778	9.33333	6.00908
9.33333	9.33333	6.31427
-7.77778	10.8889	6.64345
-6.22222	10.8889	6.28874
-4.66667	10.8889	5.99211
-3.11111	10.8889	5.60352
-1.55556	10.8889	5.29592
0	10.8889	5.0327
1.55556	10.8889	5.01893
3.11111	10.8889	5.20548
4.66667	10.8889	5.51064
6.22222	10.8889	5.86562
7.77778	10.8889	6.24988
-6.22222	12.4444	6.23518
-4.66667	12.4444	5.91215
-3.11111	12.4444	5.60062
-1.55556	12.4444	5.42613
0	12.4444	5.27614
1.55556	12.4444	5.17773
3.11111	12.4444	5.37704
4.66667	12.4444	5.65069
6.22222	12.4444	5.90082
0	14	5.47648

Minimum value	3.69332
Maximum value	7.72839
Average value	5.60897
Std deviation	0.769024
