07-Feb-2022	01:52:39	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	8.92993
-6.22222	-12.4444	9.45153
-4.66667	-12.4444	9.3913
-3.11111	-12.4444	9.18058
-1.55556	-12.4444	8.98505
0	-12.4444	8.57779
1.55556	-12.4444	8.17572
3.11111	-12.4444	7.7795
4.66667	-12.4444	7.35255
6.22222	-12.4444	7.28277
-7.77778	-10.8889	8.08302
-6.22222	-10.8889	8.32965
-4.66667	-10.8889	8.18271
-3.11111	-10.8889	8.29755
-1.55556	-10.8889	8.23914
0	-10.8889	8.09422
1.55556	-10.8889	7.73683
3.11111	-10.8889	7.59164
4.66667	-10.8889	7.35922
6.22222	-10.8889	7.14995
7.77778	-10.8889	7.39589
-9.33333	-9.33333	6.86571
-7.77778	-9.33333	7.45919
-6.22222	-9.33333	7.8089
-4.66667	-9.33333	7.7721
-3.11111	-9.33333	7.95041
-1.55556	-9.33333	7.89968
0	-9.33333	7.59643
1.55556	-9.33333	7.52543
3.11111	-9.33333	7.35511
4.66667	-9.33333	7.3148
6.22222	-9.33333	7.11081
7.77778	-9.33333	7.11969
9.33333	-9.33333	7.59362
-10.8889	-7.77778	6.13755
-9.33333	-7.77778	6.73487
-7.77778	-7.77778	7.33776
-6.22222	-7.77778	7.56886
-4.66667	-7.77778	7.92168
-3.11111	-7.77778	7.91495
-1.55556	-7.77778	7.85169
0	-7.77778	7.57148
1.55556	-7.77778	7.32749
3.11111	-7.77778	7.10401
4.66667	-7.77778	7.06879
6.22222	-7.77778	6.98977
7.77778	-7.77778	6.85706
9.33333	-7.77778	7.21091
10.8889	-7.77778	7.63389
-12.4444	-6.22222	5.95385
-10.8889	-6.22222	6.21969
-9.33333	-6.22222	6.66974
-7.77778	-6.22222	7.1438
-6.22222	-6.22222	7.47293
-4.66667	-6.22222	7.61154
-3.11111	-6.22222	7.73937
-1.55556	-6.22222	7.66136
0	-6.22222	7.7376
1.55556	-6.22222	7.4506
3.11111	-6.22222	7.18425
4.66667	-6.22222	6.89901
6.22222	-6.22222	6.94989
7.77778	-6.22222	6.87082
9.33333	-6.22222	7.01508
10.8889	-6.22222	7.30661
12.4444	-6.22222	7.67827
-12.4444	-4.66667	6.20031
-10.8889	-4.66667	6.36218
-9.33333	-4.66667	6.63977
-7.77778	-4.66667	7.06707
-6.22222	-4.66667	7.4295
-4.66667	-4.66667	7.6843
-3.11111	-4.66667	7.75664
-1.55556	-4.66667	7.76553
0	-4.66667	7.71911
1.55556	-4.66667	7.62966
3.11111	-4.66667	7.42319
4.66667	-4.66667	7.17779
6.22222	-4.66667	7.12038
7.77778	-4.66667	7.13891
9.33333	-4.66667	7.26268
10.8889	-4.66667	7.29865
12.4444	-4.66667	7.42775
-12.4444	-3.11111	6.29619
-10.8889	-3.11111	6.48028
-9.33333	-3.11111	6.82166
-7.77778	-3.11111	7.11638
-6.22222	-3.11111	7.3626
-4.66667	-3.11111	7.73402
-3.11111	-3.11111	7.82672
-1.55556	-3.11111	7.80129
0	-3.11111	7.79647
1.55556	-3.11111	7.78153
3.11111	-3.11111	7.77731
4.66667	-3.11111	7.62871
6.22222	-3.11111	7.44435
7.77778	-3.11111	7.36146
9.33333	-3.11111	7.51707
10.8889	-3.11111	7.44328
12.4444	-3.11111	7.3419
-12.4444	-1.55556	6.16905
-10.8889	-1.55556	6.56385
-9.33333	-1.55556	6.92417
-7.77778	-1.55556	7.2318
-6.22222	-1.55556	7.50671
-4.66667	-1.55556	7.74187
-3.11111	-1.55556	7.84655
-1.55556	-1.55556	7.91525
0	-1.55556	7.99426
1.55556	-1.55556	7.94483
3.11111	-1.55556	7.90653
4.66667	-1.55556	7.89018
6.22222	-1.55556	7.60906
7.77778	-1.55556	7.37705
9.33333	-1.55556	7.44464
10.8889	-1.55556	7.48365
12.4444	-1.55556	7.54616
-14	0	5.78255
-12.4444	0	6.08554
-10.8889	0	6.52977
-9.33333	0	7.10373
-7.77778	0	7.41235
-6.22222	0	7.54724
-4.66667	0	7.83145
-3.11111	0	8.13452
-1.55556	0	8.11455
0	0	8.26976
1.55556	0	8.0823
3.11111	0	7.87072
4.66667	0	7.80412
6.22222	0	7.58263
7.77778	0	7.31661
9.33333	0	7.20936
10.8889	0	7.19645
12.4444	0	7.36886
14	0	7.64239
-12.4444	1.55556	6.03177
-10.8889	1.55556	6.65412
-9.33333	1.55556	7.11262
-7.77778	1.55556	7.56671
-6.22222	1.55556	7.65119
-4.66667	1.55556	8.02156
-3.11111	1.55556	8.43967
-1.55556	1.55556	8.34619
0	1.55556	8.27045
1.55556	1.55556	8.07103
3.11111	1.55556	7.82477
4.66667	1.55556	7.64449
6.22222	1.55556	7.50499
7.77778	1.55556	7.13224
9.33333	1.55556	6.84837
10.8889	1.55556	6.87598
12.4444	1.55556	7.17599
-12.4444	3.11111	6.09895
-10.8889	3.11111	6.36394
-9.33333	3.11111	7.05675
-7.77778	3.11111	7.3994
-6.22222	3.11111	7.84271
-4.66667	3.11111	8.14294
-3.11111	3.11111	8.57469
-1.55556	3.11111	8.41649
0	3.11111	8.23025
1.55556	3.11111	8.0052
3.11111	3.11111	7.7978
4.66667	3.11111	7.55236
6.22222	3.11111	7.31255
7.77778	3.11111	6.96066
9.33333	3.11111	6.71239
10.8889	3.11111	6.77529
12.4444	3.11111	7.08978
-12.4444	4.66667	6.52992
-10.8889	4.66667	6.4474
-9.33333	4.66667	6.73288
-7.77778	4.66667	7.0393
-6.22222	4.66667	7.52521
-4.66667	4.66667	7.85708
-3.11111	4.66667	8.18658
-1.55556	4.66667	8.16019
0	4.66667	7.97926
1.55556	4.66667	7.76608
3.11111	4.66667	7.56938
4.66667	4.66667	7.31519
6.22222	4.66667	7.03107
7.77778	4.66667	6.86318
9.33333	4.66667	6.65931
10.8889	4.66667	6.86492
12.4444	4.66667	7.16466
-12.4444	6.22222	6.94457
-10.8889	6.22222	6.67499
-9.33333	6.22222	6.77879
-7.77778	6.22222	6.93928
-6.22222	6.22222	7.24259
-4.66667	6.22222	7.33008
-3.11111	6.22222	7.52256
-1.55556	6.22222	7.64623
0	6.22222	7.64566
1.55556	6.22222	7.45239
3.11111	6.22222	7.21133
4.66667	6.22222	7.08362
6.22222	6.22222	6.95353
7.77778	6.22222	6.72636
9.33333	6.22222	6.80087
10.8889	6.22222	6.87347
12.4444	6.22222	7.30159
-10.8889	7.77778	7.03419
-9.33333	7.77778	7.02101
-7.77778	7.77778	7.06779
-6.22222	7.77778	7.16372
-4.66667	7.77778	7.0224
-3.11111	7.77778	6.97863
-1.55556	7.77778	6.91995
0	7.77778	6.88012
1.55556	7.77778	6.94328
3.11111	7.77778	6.86731
4.66667	7.77778	6.91007
6.22222	7.77778	6.86146
7.77778	7.77778	6.76513
9.33333	7.77778	6.79289
10.8889	7.77778	6.95035
-9.33333	9.33333	7.16853
-7.77778	9.33333	7.09014
-6.22222	9.33333	7.00536
-4.66667	9.33333	6.87177
-3.11111	9.33333	6.63195
-1.55556	9.33333	6.44996
0	9.33333	6.39406
1.55556	9.33333	6.36889
3.11111	9.33333	6.49647
4.66667	9.33333	6.50848
6.22222	9.33333	6.55218
7.77778	9.33333	6.56249
9.33333	9.33333	6.5539
-7.77778	10.8889	7.11889
-6.22222	10.8889	6.98754
-4.66667	10.8889	6.76623
-3.11111	10.8889	6.51228
-1.55556	10.8889	6.39237
0	10.8889	6.22104
1.55556	10.8889	6.13889
3.11111	10.8889	6.01425
4.66667	10.8889	6.11936
6.22222	10.8889	6.09338
7.77778	10.8889	6.01076
-6.22222	12.4444	7.09464
-4.66667	12.4444	6.74322
-3.11111	12.4444	6.47113
-1.55556	12.4444	6.19064
0	12.4444	5.992
1.55556	12.4444	5.72514
3.11111	12.4444	5.657
4.66667	12.4444	5.54453
6.22222	12.4444	5.5262
0	14	5.67305

Minimum value	5.5262
Maximum value	9.45153
Average value	7.25888
Std deviation	0.677697
